count(10HZ)  latitude    longtitude  batteryPercent
0   42.404971 -122.885503 N/A
1   42.404971   -122.885503   95
2   42.404971   -122.885503   95
3   42.404971   -122.885503   95
4   42.404971   -122.885503   95
5   42.404971   -122.885503   95
6   42.404971   -122.885503   95
7   42.404971   -122.885503   95
8   42.404971   -122.885503   95
9   42.404971   -122.885503   95
10   42.404971   -122.885503   95
11   42.404971   -122.885503   95
12   42.404971   -122.885503   95
13   42.404971   -122.885503   95
14   42.404971   -122.885503   95
15   42.404971   -122.885503   95
16   42.404971   -122.885503   95
17   42.404971   -122.885503   95
18   42.404971   -122.885503   95
19   42.404971   -122.885503   95
20   42.404971   -122.885503   95
21   42.404971   -122.885503   95
22   42.404971   -122.885503   95
23   42.404971   -122.885503   95
24   42.404971   -122.885503   95
25   42.404971   -122.885503   95
26   42.404971   -122.885503   95
27   42.404971   -122.885503   95
28   42.404971   -122.885503   95
30   42.404971   -122.885503   95
31   42.404971   -122.885503   95
32   42.404971   -122.885503   95
33   42.404971   -122.885503   95
34   42.404971   -122.885503   95
35   42.404971   -122.885503   95
36   42.404971   -122.885503   95
37   42.404971   -122.885503   95
38   42.404971   -122.885503   95
39   42.404971   -122.885503   95
40   42.404971   -122.885503   95
41   42.404971   -122.885503   95
42   42.404971   -122.885503   95
43   42.404971   -122.885503   95
44   42.404971   -122.885503   95
45   42.404971   -122.885503   95
46   42.404971   -122.885503   95
47   42.404971   -122.885503   95
48   42.404971   -122.885503   95
49   42.404971   -122.885503   95
50   42.404971   -122.885503   95
51   42.404971   -122.885503   95
52   42.404971   -122.885503   95
53   42.404971   -122.885503   95
54   42.404971   -122.885503   95
55   42.404971   -122.885503   95
56   42.404971   -122.885503   95
57   42.404971   -122.885503   95
58   42.404971   -122.885503   95
59   42.404971   -122.885503   95
60   42.404971   -122.885503   95
61   42.404971   -122.885503   95
62   42.404971   -122.885504   95
63   42.404971   -122.885504   95
64   42.404971   -122.885505   95
65   42.404971   -122.885505   95
66   42.404971   -122.885505   95
67   42.404971   -122.885505   95
68   42.404971   -122.885506   95
69   42.404971   -122.885506   95
70   42.404971   -122.885506   95
71   42.404971   -122.885506   95
72   42.404971   -122.885506   95
73   42.404971   -122.885506   95
74   42.404971   -122.885506   95
75   42.404971   -122.885506   95
76   42.404971   -122.885506   95
77   42.404970   -122.885506   95
78   42.404970   -122.885506   95
79   42.404970   -122.885506   95
80   42.404969   -122.885506   95
81   42.404969   -122.885506   95
82   42.404968   -122.885506   95
83   42.404968   -122.885506   95
84   42.404967   -122.885506   95
85   42.404966   -122.885507   95
86   42.404966   -122.885507   95
87   42.404965   -122.885507   95
88   42.404965   -122.885507   95
89   42.404965   -122.885508   95
90   42.404965   -122.885508   95
91   42.404965   -122.885508   95
92   42.404965   -122.885508   95
93   42.404965   -122.885509   95
94   42.404965   -122.885509   95
95   42.404965   -122.885509   95
96   42.404965   -122.885509   95
97   42.404965   -122.885509   95
98   42.404965   -122.885509   95
99   42.404965   -122.885509   95
100   42.404965   -122.885509   95
101   42.404965   -122.885509   95
102   42.404965   -122.885509   95
103   42.404965   -122.885509   95
104   42.404965   -122.885509   95
105   42.404965   -122.885509   95
106   42.404965   -122.885509   95
107   42.404965   -122.885509   95
108   42.404965   -122.885509   95
109   42.404965   -122.885509   95
110   42.404965   -122.885509   95
111   42.404965   -122.885509   94
112   42.404965   -122.885508   94
113   42.404965   -122.885508   94
114   42.404965   -122.885508   94
115   42.404965   -122.885508   94
116   42.404965   -122.885508   94
117   42.404965   -122.885508   94
118   42.404965   -122.885508   94
120   42.404965   -122.885508   94
121   42.404965   -122.885508   94
122   42.404965   -122.885508   94
123   42.404965   -122.885508   94
124   42.404965   -122.885508   94
125   42.404965   -122.885508   94
126   42.404965   -122.885507   94
127   42.404965   -122.885507   94
128   42.404965   -122.885507   94
129   42.404965   -122.885507   94
130   42.404965   -122.885507   94
131   42.404965   -122.885507   94
132   42.404965   -122.885507   94
133   42.404965   -122.885507   94
134   42.404965   -122.885507   94
135   42.404965   -122.885507   94
136   42.404965   -122.885507   94
137   42.404965   -122.885507   94
138   42.404965   -122.885507   94
139   42.404965   -122.885507   94
140   42.404965   -122.885507   94
141   42.404965   -122.885507   94
142   42.404965   -122.885507   94
143   42.404965   -122.885507   94
144   42.404965   -122.885507   94
145   42.404965   -122.885507   94
146   42.404965   -122.885507   94
147   42.404965   -122.885507   94
148   42.404965   -122.885507   94
149   42.404965   -122.885507   94
150   42.404965   -122.885507   94
151   42.404965   -122.885507   94
152   42.404965   -122.885507   94
153   42.404965   -122.885507   94
154   42.404965   -122.885508   94
155   42.404965   -122.885509   94
156   42.404965   -122.885509   94
157   42.404965   -122.885510   94
158   42.404965   -122.885511   94
159   42.404965   -122.885512   94
160   42.404965   -122.885513   94
161   42.404965   -122.885515   94
162   42.404965   -122.885516   94
163   42.404964   -122.885517   94
164   42.404964   -122.885518   94
165   42.404963   -122.885519   94
166   42.404961   -122.885519   94
167   42.404960   -122.885520   94
168   42.404958   -122.885520   94
169   42.404956   -122.885521   94
170   42.404954   -122.885522   94
171   42.404952   -122.885522   94
172   42.404950   -122.885523   94
173   42.404948   -122.885524   94
174   42.404946   -122.885525   94
175   42.404944   -122.885526   94
176   42.404943   -122.885528   94
177   42.404941   -122.885529   94
178   42.404940   -122.885531   94
179   42.404938   -122.885533   94
180   42.404937   -122.885535   94
181   42.404936   -122.885537   94
182   42.404935   -122.885539   94
183   42.404934   -122.885542   94
184   42.404933   -122.885545   94
185   42.404933   -122.885547   94
186   42.404932   -122.885551   94
187   42.404931   -122.885554   94
188   42.404931   -122.885556   94
189   42.404931   -122.885558   94
190   42.404930   -122.885561   94
191   42.404930   -122.885562   94
192   42.404930   -122.885564   94
193   42.404930   -122.885565   94
194   42.404930   -122.885565   94
195   42.404930   -122.885566   94
196   42.404930   -122.885566   94
197   42.404930   -122.885565   94
198   42.404930   -122.885565   94
199   42.404929   -122.885565   94
200   42.404929   -122.885565   94
201   42.404929   -122.885564   94
202   42.404929   -122.885564   94
203   42.404929   -122.885564   94
204   42.404929   -122.885564   94
205   42.404929   -122.885564   94
206   42.404929   -122.885564   94
207   42.404929   -122.885564   94
208   42.404928   -122.885564   94
209   42.404928   -122.885564   94
210   42.404928   -122.885563   94
211   42.404928   -122.885562   94
212   42.404928   -122.885561   94
213   42.404928   -122.885559   94
214   42.404928   -122.885558   94
215   42.404928   -122.885557   94
216   42.404928   -122.885556   94
217   42.404928   -122.885557   94
218   42.404928   -122.885558   94
219   42.404928   -122.885559   94
220   42.404927   -122.885560   94
221   42.404927   -122.885561   94
222   42.404925   -122.885562   94
223   42.404924   -122.885563   94
224   42.404922   -122.885563   94
225   42.404921   -122.885564   94
226   42.404920   -122.885565   94
227   42.404919   -122.885566   94
228   42.404919   -122.885567   94
229   42.404919   -122.885568   94
230   42.404919   -122.885568   94
231   42.404919   -122.885568   94
232   42.404919   -122.885569   94
233   42.404919   -122.885569   94
234   42.404919   -122.885569   94
235   42.404920   -122.885569   94
236   42.404920   -122.885569   94
237   42.404920   -122.885568   94
238   42.404920   -122.885568   94
239   42.404920   -122.885568   94
240   42.404920   -122.885568   94
241   42.404920   -122.885568   94
242   42.404920   -122.885568   94
243   42.404921   -122.885567   94
244   42.404921   -122.885567   94
245   42.404921   -122.885567   94
246   42.404921   -122.885567   94
247   42.404921   -122.885567   94
248   42.404921   -122.885567   94
249   42.404920   -122.885567   94
250   42.404920   -122.885567   94
251   42.404920   -122.885568   94
252   42.404920   -122.885568   94
253   42.404920   -122.885568   94
254   42.404920   -122.885568   94
255   42.404920   -122.885568   94
256   42.404920   -122.885568   94
257   42.404920   -122.885568   94
258   42.404920   -122.885568   94
259   42.404920   -122.885568   94
260   42.404919   -122.885568   94
261   42.404919   -122.885568   94
262   42.404919   -122.885568   94
263   42.404919   -122.885568   94
264   42.404919   -122.885568   94
265   42.404919   -122.885568   94
266   42.404919   -122.885568   94
267   42.404919   -122.885568   94
268   42.404919   -122.885568   94
269   42.404919   -122.885568   94
270   42.404919   -122.885568   94
272   42.404919   -122.885568   94
273   42.404919   -122.885568   94
274   42.404919   -122.885568   94
275   42.404919   -122.885568   94
276   42.404919   -122.885568   94
277   42.404919   -122.885568   94
278   42.404919   -122.885568   94
279   42.404919   -122.885568   94
280   42.404919   -122.885568   94
281   42.404919   -122.885568   94
282   42.404919   -122.885568   94
283   42.404919   -122.885568   94
284   42.404919   -122.885568   94
285   42.404919   -122.885568   94
286   42.404919   -122.885568   94
287   42.404919   -122.885568   94
288   42.404919   -122.885568   94
289   42.404919   -122.885568   94
290   42.404919   -122.885568   94
291   42.404919   -122.885568   93
292   42.404919   -122.885568   93
293   42.404919   -122.885568   93
294   42.404919   -122.885568   93
295   42.404919   -122.885568   93
296   42.404919   -122.885568   93
297   42.404919   -122.885568   93
298   42.404919   -122.885568   93
299   42.404919   -122.885568   93
300   42.404919   -122.885568   93
301   42.404919   -122.885568   93
302   42.404919   -122.885568   93
303   42.404919   -122.885567   93
304   42.404919   -122.885565   93
305   42.404919   -122.885563   93
306   42.404919   -122.885560   93
307   42.404919   -122.885557   93
308   42.404919   -122.885555   93
309   42.404918   -122.885553   93
310   42.404918   -122.885551   93
311   42.404918   -122.885550   93
312   42.404918   -122.885550   93
313   42.404918   -122.885550   93
314   42.404917   -122.885551   93
315   42.404917   -122.885552   93
316   42.404917   -122.885553   93
317   42.404917   -122.885553   93
